Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Pinheiro,Neto,Bola Parada,0,8,89,50,99,52
Pinheiro,Kayky,Chute,0,0,80,40,98,42
Pinheiro,Neto,Cabeceio,0,0,94,54,98,47
Maranhao,Emerson,Chute,0,5,78,45,99,54
Moto Club,Danilo,Chute,0,1,87,48,99,54
Pinheiro,Cleber,Chute,0,0,97,57,-,-
Pinheiro,Neto,Chute,0,0,89,42,98,54
Sampaio,Alan James,Chute,0,0,95,50,98,50
Sampaio,STENCE,Chute,0,0,96,44,98,51
Sampaio,Bruno Matos,Bola Parada,0,0,89,50,99,55
Imperatriz,Jeferson P,Gol Contra,0,4,94,43,99,53
Imperatriz,Felipe Macena,Chute,0,4,86,42,98,52
Imperatriz,Cafe,Cabeceio,0,4,97,55,-,-
Imperatriz,Lussandro,Chute,0,0,93,54,98,46
Imperatriz,Lussandro,Chute,0,0,97,44,-,-
Pinheiro,Henrique,Chute,0,0,97,46,-,-
Sampaio,Jairzinho,Chute,0,13,94,57,98,49
Sampaio,ADRIANO,Chute,0,13,89,43,98,43
Sampaio,JOAO LENGER,Chute,0,13,83,43,98,44
Iape,Kaio Camara,Chute,0,0,88,29,99,54
Imperatriz,WYLDSON,Chute,0,0,79,41,98,43
Tuntum,Cassio,Chute,0,0,83,72,99,57
Sampaio,ADRIANO,Chute,0,0,84,29,99,47
Sampaio,Rodolfo,Chute,0,0,91,41,98,44
Pinheiro,FRANCISCO,Chute,0,0,94,56,99,54
Maranhao,Clessione,Chute,0,0,96,66,99,46
Moto Club,DANILO PIRES,Bola Parada,0,0,89,50,99,45
Tuntum,Nycollas,Bola Parada,0,0,89,50,98,55
Sampaio,JO,Bola Parada,0,11,76,47,98,44
Sampaio,Fabio,Chute,0,11,91,41,99,53
Sampaio,Thiago Rosa,Chute,0,11,92,31,99,58
Pinheiro,Henrique C,Chute,0,11,83,41,99,53
Imperatriz,Lussandro,Cabeceio,0,21,94,44,98,44
Imperatriz,Lussandro,Cabeceio,0,21,97,36,99,44
Imperatriz,Gleidson,Cabeceio,0,21,96,43,99,43
Imperatriz,Gleidson,Cabeceio,0,21,96,50,99,50
Imperatriz,Cafe,Bola Parada,0,21,89,50,99,55
