Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Pinheiro,Neto,Bola Parada,0,8,89,50,99,52
Pinheiro,Kayky,Chute,0,0,80,40,98,42
Pinheiro,Neto,Cabeceio,0,0,94,54,98,47
Maranhao,Emerson,Chute,0,5,78,45,99,54
Moto Club,Danilo,Chute,0,1,87,48,99,54
Pinheiro,Cleber,Chute,0,0,97,57,-,-
Pinheiro,Neto,Chute,0,0,89,42,98,54
Sampaio,Alan James,Chute,0,0,95,50,98,50
Sampaio,STENCE,Chute,0,0,96,44,98,51
Sampaio,Bruno Matos,Bola Parada,0,0,89,50,99,55
Imperatriz,Jeferson P,Gol Contra,0,4,94,43,99,53
Imperatriz,Felipe Macena,Chute,0,4,86,42,98,52
Imperatriz,Cafe,Cabeceio,0,4,97,55,-,-
